fold	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
c.97	0.562693367414686	0.002437940025448892	0.0	0.0625	7.5	7531.0	16
c.98	0.900785496486809	0.004829803851159236	0.0	0.0	2.0	7543.0	4
d.100	0.8631141746200072	0.25047236733264217	0.0	0.3333333333333333	1.3333333333333333	7544.0	3
d.109	0.40248128453265164	0.0006300460732250812	0.0	0.0	4.923076923076923	7534.0	13
d.110	0.5651189603676323	0.04984324971329478	0.2926829268292683	0.4878048780487805	34.53658536585366	7506.0	41
d.129	0.5291471668621457	0.005114229820931705	0.0	0.0975609756097561	24.926829268292682	7506.0	41
d.13	0.04855122932696561	0.0001465117322086567	0.0	0.0	1.7777777777777777	7538.0	9
d.142	0.4901964040565077	0.004891336712106867	0.0	0.2	9.6	7527.0	20
d.15	0.5689267734915985	0.12636446076012187	0.6144578313253012	0.6626506024096386	61.46987951807229	7464.0	83
d.153	0.2643747510290798	0.0036678114036852202	0.0	0.0625	1.875	7531.0	16
d.17	0.4888146909658956	0.009782186385140406	0.043478260869565216	0.11594202898550725	40.52173913043478	7478.0	69
d.170	0.6824186991869919	0.0015187942555317724	0.0	0.0	1.3333333333333333	7544.0	3
d.186	0.5062624254473161	0.00016025076168598188	0.0	0.0	1.0	7545.0	2
d.198	0.8885259103641456	0.11022495329807061	0.29411764705882354	0.5294117647058824	10.235294117647058	7530.0	17
d.211	0.8876232153118507	0.0027526518921092004	0.0	0.0	1.6666666666666667	7541.0	6
d.230	0.5347167267151344	0.039782282613643805	0.09090909090909091	0.45454545454545453	9.454545454545455	7536.0	11
d.241	0.3706428098078198	0.0001042540930491692	0.0	0.0	1.0	7545.0	2
d.248	0.358051689860835	0.00011520876855463177	0.0	0.0	1.0	7545.0	2
d.26	0.27477098627261287	0.0014119888771816538	0.0	0.0	8.625	7531.0	16
d.41	0.6232778923580623	0.01048634038799511	0.07692307692307693	0.23076923076923078	8.461538461538462	7534.0	13
d.43	0.285149346058678	0.00022539705392791583	0.0	0.0	1.3333333333333333	7544.0	3
d.50	0.5570167813097978	0.005264147787245765	0.0	0.26666666666666666	8.8	7532.0	15
d.52	0.6073018771056544	0.02727865369680349	0.09523809523809523	0.42857142857142855	18.095238095238095	7526.0	21
d.58	0.5721515274192168	0.05553018317491099	0.2163265306122449	0.5306122448979592	229.0448979591837	7302.0	245
d.64	0.396661806291976	0.00019406211997783124	0.0	0.0	1.3333333333333333	7544.0	3
d.67	0.41539940720949475	0.0007786386673759544	0.0	0.0	5.75	7539.0	8
d.68	0.5644123288985894	0.018771416698898806	0.14285714285714285	0.2857142857142857	11.857142857142858	7533.0	14
d.74	0.7074637677726615	0.007002090108532696	0.0	0.25	6.0	7539.0	8
d.75	0.06827721809826794	9.48158876665769e-05	0.0	0.0	1.3333333333333333	7544.0	3
d.76	0.23826882290562038	0.00011746625872116965	0.0	0.0	1.3333333333333333	7544.0	3
d.79	0.580629256536428	0.004703250232163511	0.0	0.0	21.62962962962963	7520.0	27
d.81	0.69488272564728	0.00433248529949633	0.04	0.04	7.12	7522.0	25
d.82	0.5697904825059997	0.003965602758408194	0.0	0.2857142857142857	5.142857142857143	7540.0	7
d.83	0.998497702368328	0.5592105263157895	0.6666666666666666	1.0	1.3333333333333333	7544.0	3
d.87	0.7402850157627228	0.0023746514233034996	0.0	0.0	4.363636363636363	7536.0	11
d.9	0.6373348358301294	0.0004647940861097559	0.0	0.0	1.5	7543.0	4
d.92	0.2736826039279466	0.0009157968959406915	0.0	0.0	8.4375	7515.0	32
d.94	0.22312789927104046	8.594402634941536e-05	0.0	0.0	1.0	7545.0	2
d.95	0.13256309110210385	0.00015505921048564091	0.0	0.0	1.8181818181818181	7536.0	11
d.96	0.7218005491751843	0.0032661555492189236	0.0	0.0	3.111111111111111	7538.0	9
d.98	0.8700463883366468	0.001666862672076416	0.0	0.0	1.0	7545.0	2
f.1	0.7349224731390337	0.021959007067926646	0.09090909090909091	0.2727272727272727	7.090909090909091	7536.0	11
f.17	0.6515915692219434	0.022040413510242527	0.09090909090909091	0.45454545454545453	8.727272727272727	7536.0	11
f.21	0.9807047730651473	0.5330216507001003	0.7777777777777778	1.0	4.444444444444445	7538.0	9
f.23	0.8145874723049674	0.3063503301894375	0.7169811320754716	0.9056603773584906	51.39622641509434	7494.0	53
f.4	0.8455019847262372	0.44975029415042267	0.8181818181818182	0.8636363636363636	15.454545454545455	7525.0	22
f.68	0.18333333333333332	8.091822350134371e-05	0.0	0.0	1.0	7545.0	2
f.73	0.9997238423471191	0.5393518518518517	0.6666666666666666	1.0	2.0	7544.0	3
g.16	0.7381364359586317	0.016504200335887714	0.0	0.0	2.8	7542.0	5
g.2	0.8811536082018648	0.017541499006664532	0.0	0.25	3.0	7543.0	4
g.3	0.9147150674791459	0.4269332770529682	0.680672268907563	0.9747899159663865	99.47899159663865	7428.0	119
g.41	0.7821355248862238	0.15705602862036797	0.5319148936170213	0.8936170212765957	41.06382978723404	7500.0	47
g.50	0.8594185583432895	0.007924137114583996	0.0	0.07142857142857142	3.4285714285714284	7533.0	14
g.88	0.8572564612326043	0.00045263247953783415	0.0	0.0	1.0	7545.0	2
